Store,Type,Size
1.0,A,151315.0
2.0,A,202307.0
3.0,B,37392.0
4.0,A,205863.0
5.0,B,34875.0
6.0,A,202505.0
7.0,B,70713.0
8.0,A,155078.0
9.0,B,125833.0
10.0,B,126512.0
11.0,A,207499.0
12.0,B,112238.0
13.0,A,219622.0
14.0,A,200898.0
15.0,B,123737.0
16.0,B,57197.0
17.0,B,93188.0
18.0,B,120653.0
19.0,A,203819.0
20.0,A,203742.0
21.0,B,140167.0
22.0,B,119557.0
23.0,B,114533.0
24.0,A,203819.0
25.0,B,128107.0
26.0,A,152513.0
27.0,A,204184.0
28.0,A,206302.0
29.0,B,93638.0
30.0,C,42988.0
31.0,A,203750.0
32.0,A,203007.0
33.0,A,39690.0
34.0,A,158114.0
35.0,B,103681.0
36.0,A,39910.0
37.0,C,39910.0
38.0,C,39690.0
39.0,A,184109.0
40.0,A,155083.0
41.0,A,196321.0
42.0,C,39690.0
43.0,C,41062.0
44.0,C,39910.0
45.0,B,118221.0
5.0,B,34875.0
11.0,A,207499.0
1.0,,151315.0
